gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000197381	15669.405408230616	0.28638279526794724	0.21606110136110188	1.32547132947044	0.1850148725696527	0.7756337786271638
ENSG00000215455	332.79278061558864	0.45529379120242164	0.34767084287490596	1.3095541387295426	0.19034671162231492	0.7756337786271638
ENSG00000241123	328.0852582257944	-0.4891694497356387	0.3748714449678228	-1.3048992029190878	0.19192717269738618	0.7756337786271638
ENSG00000142156	4388.016500914123	-0.2632534390150766	0.20225758994961313	-1.3015750809680808	0.19306168288973075	0.7756337786271638
ENSG00000154640	1526.2192846093735	0.25615330935093944	0.20030169005139162	1.2788374840233145	0.20095429105123377	0.7934229767367678
ENSG00000154639	2870.0443508429353	-0.2737523231992492	0.2236359328564889	-1.224098112063775	0.22091521816803583	0.8574505925505119
ENSG00000249209	473.0656239177111	0.41425557514128414	0.3447946207944434	1.201456026740775	0.22957435419044017	0.8762087851601801
ENSG00000212938	180.98898742882298	-0.48781334651330477	0.4257635800524818	-1.1457376097156415	0.251903737140458	0.9456714066420472
ENSG00000198862	9989.959296650355	-0.19885034561787354	0.1793856631268673	-1.1085074590227437	0.2676427195797936	0.9765917021239261
ENSG00000160226	4139.894218921592	0.21219230961557414	0.1918326965799747	1.1061321317928279	0.268669332898722	0.9765917021239261
ENSG00000186980	72.32516950961528	-0.6594696676840764	0.6378293846858136	-1.0339280119697254	0.30116981843837076	0.9792337706593559
ENSG00000221859	262.750154876126	-0.36793435546218556	0.3581083594791676	-1.0274386110318925	0.30421397823253005	0.9792337706593559
ENSG00000166979	5837.039621554469	-0.16882608741760105	0.16845339928027564	-1.002212410903655	0.3162410149124745	0.9792337706593559
ENSG00000212935	338.3396514894333	0.3835379580952025	0.38406372442751624	0.99863104401985	0.31797345586640746	0.9792337706593559
ENSG00000160285	8797.488556538876	0.20664324852206914	0.20878464593563492	0.9897435110519289	0.3222995017865094	0.9792337706593559
ENSG00000242220	1915.1724963669487	-0.25376357093475793	0.25877400274241136	-0.9806378084562037	0.32677138268988165	0.9792337706593559
ENSG00000280433	1961.7418734789833	-0.20494727026889586	0.20947282760742253	-0.978395492197164	0.32787875683809203	0.9792337706593559
ENSG00000189169	409.23710247608943	-0.33042447354858806	0.341601103694842	-0.9672816333865297	0.33340326270732185	0.9792337706593559
ENSG00000273590	3313.723059854291	-0.16413391387236337	0.17191687319340934	-0.9547283569292817	0.33971508575367165	0.9792337706593559
ENSG00000183145	2155.4347586522226	0.25388061474103746	0.2699312516719342	0.9405380561477031	0.3469416385600439	0.9792337706593559
ENSG00000157551	12678.994796565565	-0.16633042246641686	0.1777682727213099	-0.9356586522454187	0.34944896576826984	0.9792337706593559
ENSG00000185658	19301.756597204654	0.14755088502648833	0.1632674343892834	0.9037373899970669	0.366134667893074	0.9792337706593559
ENSG00000182670	25438.929351236802	0.1537126380127729	0.17013615270427423	0.9034684020388765	0.36627735100395625	0.9792337706593559
ENSG00000159079	3727.022492808426	-0.1737066345180356	0.19397591054592175	-0.8955062204845915	0.37051654204309065	0.9792337706593559
ENSG00000160294	8443.4968808955	0.18674012509163315	0.20946945685386673	0.8914909500238484	0.37266584451679846	0.9792337706593559
ENSG00000154727	3363.150485368251	-0.14894661829138728	0.17095943999537536	-0.8712395074259511	0.38362339247913535	0.9792337706593559
